Direction,Stop ID,Stop Name,Stop Sequence,Total Activity,Average Activity,Median Activity,Speed to Next Stop (Avg),Speed to Next Stop (Med),Distance to Next Stop,Distance Traveled
INBOUND,2217,Alcee Fortier at Chef Highway,1,108,1.26,1,27.86,33.36,0.12,0
INBOUND,2233,Chef at Dong Phuong,2,9,0.1,0,31.3,32.09,0.24,0.12
INBOUND,2234,Chef Garden Apartments,3,0,0,0,35.61,36.92,0.37,0.36
INBOUND,2235,Orleans East Apartments,4,1,0.01,0,38.96,37.21,0.09,0.73
INBOUND,2236,Opposite Maison Orleans Two,5,0,0,0,24.14,24.96,0.18,0.82
INBOUND,8075,Chef Highway at Michoud (Nearside),6,18,0.2,0,16.68,10.04,0.11,1
INBOUND,4088,Chef Highway at Michoud (In),7,83,0.89,0,26.67,27.38,0.27,1.11
INBOUND,4089,Chef Highway at 13001 Chef Highway,8,0,0,0,29.24,27.92,0.96,1.38
INBOUND,1672,Chef Highway at Bullard (Farside),9,7,0.08,0,31.07,31.59,0.24,2.34
INBOUND,1673,Chef Highway at Sherwood,10,20,0.22,0,33.21,34.06,0.24,2.58
INBOUND,1674,Chef Highway at Wright Rd.,11,37,0.41,0,27.71,28.71,0.22,2.82
INBOUND,1675,Chef Highway at Papania,12,66,0.73,0,34.33,36.34,0.16,3.04
INBOUND,1676,Chef Highway at Good,13,1,0.01,0,28.81,28.96,0.09,3.2
INBOUND,1677,Chef Highway at Schindler,14,31,0.34,0,32.71,33.89,0.13,3.29
INBOUND,1678,Chef Highway at Cardenas,15,14,0.16,0,27.18,26.48,0.17,3.42
INBOUND,1717,Chef Highway at Read,16,15,0.17,0,18.94,15.17,0.16,3.59
INBOUND,1680,Chef Highway at Lurline,17,33,0.36,0,15.77,12.96,0.18,3.75
INBOUND,1681,Chef Highway at Shopping Center,18,34,0.37,0,21.35,21.85,0.14,3.93
INBOUND,1682,Chef Highway at Hickerson,19,12,0.13,0,24.43,24.96,0.18,4.07
INBOUND,1683,Chef Highway at Bundy,20,55,0.6,0,27.28,27.37,0.13,4.25
INBOUND,4028,Chef Highway at Cerise,21,41,0.45,0,25.75,25.8,0.2,4.38
INBOUND,4609,Chef Highway at Arthur,22,5,0.05,0,28.58,28.15,0.05,4.58
INBOUND,8399,Chef Highway at Lancelot,23,5,0.05,0,26.82,27.8,0.08,4.63
INBOUND,1686,Chef Highway at Gawain,24,14,0.15,0,17.05,17.49,0.11,4.71
INBOUND,4612,Chef Highway at Crowder,25,71,0.78,0,23.85,25.53,0.14,4.82
INBOUND,1688,Chef Highway at Laine,26,24,0.26,0,25.79,26.9,0.12,4.96
INBOUND,1689,Chef Highway at Eastview,27,20,0.22,0,25.46,29.95,0.06,5.08
INBOUND,1690,Chef Highway at Elaine,28,39,0.43,0,21.35,23.39,0.11,5.14
