SORT_ORDER,STOP_ID,MAIN_CROSS_STREET
100,2311,Michoud/Chef Mentuer Highway
200,100205,MiCh
300,2333,Michoud/Lourdes
400,2321,Michoud/Dwyer
500,882,Dwyer/Bergerac
600,883,Dwyer/Opposite Cannes
700,884,Dwyer/Cernay
800,1956,Dwyer/Willowbrook
900,886,Dwyer/Palace
1000,887,Dwyer/Alcee Fortier
1100,888,Alcee Fortier/Peltier
1200,803,Alcee Fortier/Chef Highway
1300,100006,AlCh
1400,813,Chef/Dong Phuong
1500,814,Chef Garden Apartments
1600,815,Orleans East Apartments
1700,816,Opposite Maison Orleans Two
1800,1953,Chef Highway/Michoud (Nearside)
1900,1399,Chef Highway/Michoud (In)
2000,100105,ChMd I
2100,1400,Chef Highway/13001 Chef Highway
2200,519,Chef Highway/Bullard (Farside)
2300,520,Chef Highway/Sherwood
2400,521,Chef Highway/Wright Rd.
2500,522,Chef Highway/Papania
2600,523,Chef Highway/Good
2700,524,Chef Highway/Schindler
2800,525,Chef Highway/Cardenas
2900,561,Chef Highway/Read
3000,100107,chrd
3100,527,Chef Highway/Lurline
3200,528,Chef Highway/Shopping Center
3300,529,Chef Highway/Hickerson
3400,530,Chef Highway/Bundy
3500,1392,Chef Highway/Cerise
3600,1482,Chef Highway/Arthur
3700,2131,Chef Highway/Lancelot
3800,531,Chef Highway/Gawain
3900,1484,Chef Highway/Crowder
4000,532,Chef Highway/Laine
4100,533,Chef Highway/Eastview
4200,535,Chef Highway/Elaine
4300,1402,Chef Highway/Light Standard 429
4400,536,Chef Highway/Wilson
4500,537,Chef Highway/Lonely Oak
4600,538,Chef Highway/Plum Orchard
4700,539,Chef Highway/Chantilly
4800,540,Chef Highway Opposite Saint Paul/#39;s
4900,541,Chef Highway/Dale
5000,542,Chef Highway/Ray
5100,1405,Chef Highway/Majestic Oak
5200,818,Chef Highway/Stemway
5300,819,Chef Highway/Downman
5400,100102,chdo
5500,1574,Chef Highway/Congress
5600,1875,Chef Highway/Desire Drive
5700,100101,chde
5800,820,Chef Highway/Store Walkway
5900,312,Chef Highway/Louisa
6000,821,Chef Highway/Gentilly Walmart
6100,823,Chef Highway/Press Drive
6200,824,Chef Highway/Seminary Place
6300,825,Chef Highway/Providence Place
6400,826,Gentilly/Eastern
6500,827,Gentilly/Lafaye
6600,828,Gentilly/Franklin
6700,829,Gentilly/Arts
6800,830,Gentilly/St Roch
6900,831,Gentilly/Mandeville
7000,832,Gentilly/Marigny
7100,1330,Gentilly/Elysian Fields (Nearside)
7200,781,Gentilly/Elysian Fields (Farside)
7300,100165,gtef
7400,1487,Gentilly/Foy
7500,1488,Gentilly/Norman Mayer
7600,1489,Gentilly/Pauger
7700,783,Gentilly/St Anthony
7800,1247,Gentilly/New Orleans
7900,833,New Orleans/Pleasure
8000,834,New Orleans/Benefit
8100,1491,N. Broad/Agriculture
8200,1492,N. Broad/Republic
8300,868,N. Broad/St Bernard
8400,100013,brsb
8500,1493,N. Broad/D'Abadie
8600,1494,N. Broad/Lapeyrouse
8700,1495,N. Broad/Columbus
8800,1496,N. Broad/Esplanade
8900,1497,N. Broad/Ursulines
9000,1499,N. Broad/Dumaine
9100,1500,N. Broad/Orleans
9200,1501,N. Broad/Lafitte
9300,1502,N. Broad/Bienville
9400,835,N. Broad/Canal
9500,100012,brca
9600,1503,S. Broad/Banks
9700,1504,S. Broad/Tulane
9800,1505,S. Broad/Gravier
9900,1563,S. Broad/Overpass
10000,837,S. Broad/Erato
10100,1952,S. Broad/M L King
10200,838,S. Broad/Washington
10300,2051,Toledano/Dorgenois
10400,1741,Washington/S.Broad
10500,100014,brwa
1500,99999,NA
4300,99999,NA
1900,99999,NA
100,99999,NA
2100,99999,NA
7700,99999,NA
8700,99999,NA
1200,99999,NA
5300,99999,NA
8000,99999,NA
4400,99999,NA
8600,99999,NA
6400,99999,NA
9400,99999,NA
