SORT_ORDER,STOP_ID,MAIN_CROSS_STREET
100,1741,Washington/S.Broad
200,100014,brwa
300,1763,S. Broad/M L King
400,1507,S. Broad/Erato
500,1509,S. Broad/Overpass
600,1510,S. Broad/Gravier
700,1511,S. Broad/Tulane
800,1512,S. Broad/Banks
900,2043,S. Broad/Canal
1000,100012,brca
1100,1513,N. Broad/Bienville
1200,1514,N. Broad/St Louis
1300,1515,N. Broad/Orleans
1400,1516,N. Broad/Dumaine
1500,1517,N. Broad/Ursulines
1600,1518,N. Broad/Esplanade
1700,1520,N. Broad/Columbus
1800,1521,N. Broad/Lapeyrouse
1900,1522,N. Broad/D'Abadie
2000,2042,N. Broad/St Bernard
2100,100013,brsb
2200,1523,N. Broad/Duels
2300,1524,N. Broad/A P Tureaud
2400,1525,N. Broad/Treasure
2500,1526,Allen/Humanity
2600,870,Allen/Lafreniere
2700,802,Gentilly/St Anthony
2800,1529,Gentilly/Pauger
2900,1530,Gentilly/Touro
3000,1531,Gentilly/Foy
3100,2041,Gentilly/Elysian Fields (Nearside)
3200,100165,gtef
3300,871,Gentilly/Elysian Fields (Farside)
3400,872,Gentilly/Clermont
3500,1532,Gentilly/Clematis
3600,874,Gentilly/St Roch
3700,875,Gentilly/Iris
3800,1437,Gentilly/Franklin
3900,876,Gentilly/Lafaye
4000,1533,Gentilly/Aster
4100,1534,Chef Highway/Iroquois
4200,877,Chef Highway/Press
4300,869,Chef Highway/Gentilly Woods Mall
4400,2094,Chef Highway/Gentilly Woods Mall
4500,1407,Chef Highway/Louisa
4600,1877,Chef Highway/Desire Pkwy
4700,100101,chde
4800,2040,Chef Highway/Downman
4900,100103,ChDo 0
5000,878,Chef Highway/Stemway
5100,880,Chef Highway/Majestic Oaks
5200,881,Chef Highway/Ray
5300,543,Chef Highway/Dale
5400,809,Chef Highway/Saint Paul+#39;s Church
5500,545,Chef Highway/Chantilly
5600,546,Chef Highway/Plum Orchard
5700,547,Chef Highway/Lonely Oak
5800,548,Chef Highway/Wilson
5900,549,Chef Highway/7743 Chef
6000,550,Chef Highway/Pole 1093
6100,551,Chef Highway/Eastview
6200,552,Chef Highway/Laine
6300,553,Chef Highway/Crowder
6400,554,Chef Highway/Gawain
6500,555,Chef Highway/Arthur
6600,556,Chef Highway/Camelot
6700,557,Chef Highway/Bundy
6800,558,Chef Highway/Hickerson
6900,559,Chef Highway/9642 Chef
7000,560,Chef Highway/Lurline
7100,99999,NA
7100,2039,Chef Highway/Read
7200,100108,ChRd 0
8200,1954,Chef Highway/Michoud (Out)
8300,100106,ChMdO
8400,889,Michoud/Carriere Court 1
8500,890,Michoud/Carriere Court 2
8600,891,Michoud/Reserve Center
8700,892,Michoud/Old Gentilly
8800,893,Old Gentilly/Agriculture Building
8900,894,NASA
8900,99999,NA
9000,100219,NaSa
9100,805,Folgers Coffee Plant
9200,806,Gulfway Terrace Apartments
9300,100104,ChGT
9400,1955,Chef Highway/14551 Chef
9500,2038,Chef Highway/Alcee Fortier
9600,100100,ChAlf 0
9700,813,Chef/Dong Phuong
9800,814,Chef Garden Apartments
9900,815,Orleans East Apartments
10000,816,Opposite Maison Orleans Two
10100,1953,Chef Highway/Michoud (Nearside)
10200,2311,Michoud/Chef Mentuer Highway
10300,100205,MiCh
4100,99999,NA
7300,562,Chef Highway/Cardenas
7400,563,Chef Highway/Schindler
7500,565,Chef Highway/Good
7600,566,Chef Highway/Papania
7700,567,Chef Highway/Wright
7800,1538,Chef Highway/Sherwood
7900,613,Chef Highway/Bullard
8000,614,Chef Highway/Spur Station
8100,1539,Chef Highway/Computer Center
9800,99999,NA
10100,99999,NA
9100,99999,NA
1100,99999,NA
8200,99999,NA
8700,99999,NA
8100,99999,NA
10200,99999,NA
100,99999,NA
400,99999,NA
4600,99999,NA
10000,99999,NA
6800,99999,NA
500,99999,NA
9700,99999,NA
