stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
2,N2,Julia Station,NEW ORLEANS PUBLIC BELT,29.943814,-90.062421,,,,,0
3,N3,Poydras Station,O PUBLIC BELT RAILROAD & POYDRAS STREET WHARF,29.947993,-90.063134,,,,,0
4,N4,Canal Street Station,NEW ORLEANS PUBLIC BELT & UNNAMED ST,29.950002,-90.063341,,,,,0
5,N5,Bienville Station,UNNAMED ST & NEW ORLEANS PUBLIC BELT,29.952669,-90.063409,,,,,0
6,N6,Toulouse Station,UNNAMED ST & NEW ORLEANS PUBLIC BELT,29.955575,-90.06266,,,,,0
8,N8,Dumaine Station,UNNAMED ST & NEW ORLEANS PUBLIC BELT,29.957864,-90.060641,,,,,0
9,N9,Ursulines Station,NEW ORLEANS PUBLIC BELT & ESPLANADE AVE,29.959485,-90.058961,,,,,0
10,N10,French Market Station,O PUBLIC BELT RAILROAD & ESPLANADE AVENUE WHARF,29.960899,-90.05716,,,,,0
23,N23,Poydras at St Charles,SAINT CHARLES AVE & N MAESTRI PL,29.949444,-90.070742,,,,,0
24,N24,Poydras at Magazine,POYDRAS ST & MAGAZINE ST,29.949186,-90.068178,,,,,0
33,N33,Convention Ctr. Blvd at Poydras,POYDRAS ST & CONVENTION CENTER BLVD,29.948462,-90.064897,,,,,0
35,N35,N. Claiborne at Basin,N CLAIBORNE AVE & SAINT PETER ST,29.963983,-90.073087,,,,,0
44,N44,Elysian Fields at Decatur,ELYSIAN FIELDS AVE & CHARTRES ST,29.96269,-90.056608,,,,,0
45,N45,Audubon Park,TCHOUPITOULAS ST & CALHOUN ST,29.919581,-90.128774,,,,,0
46,N46,Tchoupitoulas at Henry Clay,TCHOUPITOULAS ST & CALHOUN ST,29.918668,-90.126709,,,,,0
47,N47,Tchoupitoulas at State,TCHOUPITOULAS ST & STATE ST,29.91749,-90.123476,,,,,0
48,N48,Tchoupitoulas at Nashville,TCHOUPITOULAS ST & ELEONORE ST,29.916765,-90.120426,,,,,0
49,N49,Tchoupitoulas at Joseph,TCHOUPITOULAS ST & ARABELLA ST,29.916365,-90.118538,,,,,0
50,N50,Tchoupitoulas at Jefferson,TCHOUPITOULAS ST & JEFFERSON AVE,29.91638,-90.116389,,,,,0
51,N51,Tchoupitoulas at Valmont,TCHOUPITOULAS ST & LEONTINE ST,29.916404,-90.113762,,,,,0
