Stop ID,Stop Name,Direction,Longitude,Latitude
1399,Chef Highway + Louisa,INBOUND,-90.03616,30.00557
1672,Chef Highway + Bullard (Farside),INBOUND,-89.94794,30.02414
1673,Chef Highway + Sherwood,INBOUND,-89.95161,30.02285
1674,Chef Highway + Wright Rd.,INBOUND,-89.95537,30.02181
1675,Chef Highway + Papania,INBOUND,-89.95896,30.02093
1676,Chef Highway + Good,INBOUND,-89.96154,30.02027
1677,Chef Highway + Schindler,INBOUND,-89.96296,30.01992
1678,Chef Highway + Cardenas,INBOUND,-89.96508,30.01939
1680,Chef Highway + Lurline,INBOUND,-89.97037,30.01807
1681,Chef Highway + Shopping Center,INBOUND,-89.97327,30.01736
1682,Chef Highway + Hickerson,INBOUND,-89.97541,30.01683
1683,Chef Highway + Bundy,INBOUND,-89.97842,30.01610
1686,Chef Highway + Gawain,INBOUND,-89.98596,30.01476
1688,Chef Highway + Laine,INBOUND,-89.99004,30.01405
1689,Chef Highway + Eastview,INBOUND,-89.99187,30.01372
1690,Chef Highway + Elaine,INBOUND,-89.99296,30.01352
1692,Chef Highway + Wilson,INBOUND,-89.99843,30.01256
1693,Chef Highway + Lonely Oak,INBOUND,-90.00053,30.01228
1694,Chef Highway + Plum Orchard,INBOUND,-90.00280,30.01202
1695,Chef Highway + Chantilly,INBOUND,-90.00560,30.01171
1696,Chef Highway Opposite Saint Paul+#39;s,INBOUND,-90.00703,30.01156
1697,Chef Highway + Dale,INBOUND,-90.00969,30.01128
1698,Chef Highway + Ray,INBOUND,-90.01189,30.01104
1699,Chef Highway + Dale,OUTBOUND,-90.00988,30.01098
1701,Chef Highway + Chantilly,OUTBOUND,-90.00563,30.01145
1702,Chef Highway + Plum Orchard,OUTBOUND,-90.00295,30.01173
1703,Chef Highway + Lonely Oak,OUTBOUND,-90.00070,30.01198
1704,Chef Highway + Wilson,OUTBOUND,-89.99875,30.01222
1705,Chef Highway + 7743 Chef,OUTBOUND,-89.99543,30.01281
1706,Chef Highway + Pole 1093,OUTBOUND,-89.99312,30.01322
1707,Chef Highway + Eastview,OUTBOUND,-89.99204,30.01341
1708,Chef Highway + Laine,OUTBOUND,-89.98980,30.01381
1709,Chef Highway + Crowder,OUTBOUND,-89.98835,30.01405
1710,Chef Highway + Gawain,OUTBOUND,-89.98616,30.01443
1711,Chef Highway + Arthur,OUTBOUND,-89.98395,30.01483
1712,Chef Highway + Camelot,OUTBOUND,-89.98176,30.01519
1713,Chef Highway + Bundy,OUTBOUND,-89.97855,30.01583
1714,Chef Highway + Hickerson,OUTBOUND,-89.97562,30.01651
1715,Chef Highway + 9642 Chef,OUTBOUND,-89.97331,30.01707
1716,Chef Highway + Lurline,OUTBOUND,-89.97060,30.01774
1717,Chef Highway + Read,INBOUND,-89.96780,30.01874
1718,Chef Highway + Cardenas,OUTBOUND,-89.96524,30.01910
1719,Chef Highway + Schindler,OUTBOUND,-89.96308,30.01963
1720,Chef Highway + Good,OUTBOUND,-89.96170,30.01996
1721,Chef Highway + Papania,OUTBOUND,-89.95935,30.02055
1722,Chef Highway + Wright,OUTBOUND,-89.95576,30.02144
1796,I-10 Service Rd. + Windrun Apts.,INBOUND,-89.95911,30.04811
1840,Chef Highway + Bullard,OUTBOUND,-89.94780,30.02391
1841,Chef Highway + Spur Station,OUTBOUND,-89.93256,30.02922
2159,Gentilly + Elysian Fields (Farside),INBOUND,-90.05972,29.99934
2159,Gentilly + Elysian Fields (Farside),OUTBOUND,-90.05972,29.99934
2163,Gentilly + St Anthony,INBOUND,-90.06380,29.99505
2212,Gentilly + St Anthony,OUTBOUND,-90.06389,29.99472
2217,Alcee Fortier + Chef Highway,INBOUND,-89.91170,30.03646
2221,Folgers Coffee Plant,OUTBOUND,-89.90839,30.03479
2222,Gulfway Terrace Apartments,OUTBOUND,-89.90701,30.03793
2228,Chef Highway + Saint Paul+#39;s Church,OUTBOUND,-90.00731,30.01127
2233,Chef + Dong Phuong,INBOUND,-89.91352,30.03593
2233,Chef + Dong Phuong,OUTBOUND,-89.91352,30.03593
2234,Chef Garden Apartments,INBOUND,-89.91720,30.03470
2234,Chef Garden Apartments,OUTBOUND,-89.91720,30.03470
2235,Orleans East Apartments,INBOUND,-89.92306,30.03281
2235,Orleans East Apartments,OUTBOUND,-89.92306,30.03281
2236,Opposite Maison Orleans Two,INBOUND,-89.92453,30.03234
2236,Opposite Maison Orleans Two,OUTBOUND,-89.92453,30.03234
2243,Chef Highway + Stemway,INBOUND,-90.01750,30.01043
